entity1,entity1type,entity2,entit2type,relation
memantine,treatment,core cognitive deficit,problem,TrIP
PDE4D,treatment,fragile X syndrome,problem,TrIP
PDE4D,treatment,FXS,problem,TrIP
telehealth,treatment,problem behavior,problem,TrIP
treatment,treatment,problem behavior,problem,TrIP
telehealth,treatment,irritability,problem,TrIP
treatment,treatment,irritability,problem,TrIP
FCT,treatment,parenting stress,problem,TrIP
treatment,treatment,parenting stress,problem,TrIP
Citicoline,treatment,adverse events,problem,TrIP
treatment,treatment,adverse events,problem,TrIP
treatment,treatment,problem behavior,problem,TrIP
phosphodiesterase-4D (,treatment,cognitive function,problem,TrIP
phosphodiesterase-4D (,treatment,behavioral outcomes,problem,TrIP
PDE4D,treatment,cognitive function,problem,TrIP
PDE4D,treatment,behavioral outcomes,problem,TrIP
Cannabidiol,treatment,behavioral symptoms,problem,TrIP
CBD,treatment,behavioral symptoms,problem,TrIP
allopregnanolone,treatment,cognitive functioning,problem,TrIP
Aripiprazole,treatment,irritable behavior,problem,TrIP
Minocycline,treatment,synapse abnormalities,problem,TrIP
Aripiprazole,treatment,irritable behavior,problem,TrIP
Allopregnanolone treatment,treatment,oxidative stress,problem,TrIP
allopregnanolone,treatment,psychological symptoms,problem,TrIP
memantine,treatment,memory performance,problem,TrIP
memantine,treatment,attentional processes,problem,TrIP
memantine,treatment,executive function/dysfunction,problem,TrIP
memantine,treatment,core cognitive deficit,problem,TrIP
mGluR5 antagonist,treatment,behavioral symptoms,problem,TrIP
mavoglurant,treatment,behavioral symptoms,problem,TrIP
mavoglurant,treatment,behavioral symptoms,problem,TrIP
Minocycline,treatment,synaptic abnormalities,problem,TrIP
propofol,treatment,rCPS,problem,TrIP
Propofol,treatment,rCPS,problem,TrIP
FCT,treatment,irritability,problem,TrIP
FCT,treatment,parenting stress,problem,TrIP
intervention,treatment,parenting stress,problem,TrIP
FCT,treatment,behavioral problems,problem,TrIP
intervention,treatment,behavioral problems,problem,TrIP
FCT,treatment,problem behaviors,problem,TrIP
FCT,treatment,FXS,problem,TrIP
analytic treatment,treatment,problem behavior,problem,TrIP
trofinetide,treatment,core fragile X syndrome,problem,TrIP
trofinetide,treatment,symptoms,problem,TrIP
Minocycline,treatment,FXS,problem,TrIP
minocycline,treatment,FXS,problem,TrIP
Acamprosate,treatment,inattention/hyperactivity,problem,TrIP
Minocycline,treatment,synaptic abnormalities,problem,TrIP
minocycline,treatment,anxiety,problem,TrIP
Aripiprazole,treatment,irritable behavior,problem,TrIP
minocycline,treatment,behavioural abnormalities,problem,TrIP
treatment,treatment,adaptive behavior,problem,TrIP
sertraline,treatment,FXS,problem,TrIP
sertraline,treatment,side effects,problem,TrIP
melatonin,treatment,sleep problems,problem,TrIP
melatonin,treatment,ASD,problem,TrIP
melatonin,treatment,FXS,problem,TrIP
fenobam,treatment,FXS,problem,TrIP
L-acetylcarnitine,treatment,hyperactivity,problem,TrIP
LAC,treatment,hyperactivity,problem,TrIP